                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                  1.169,                0.83286,                0.94337,                0.82269,                0.84828,                 0.8604,                0.52322,                 1.0737,                0.98834,                0.91645,               0.000475,               0.000475,               0.000475
                      1,                 1.0155,                0.59624,                0.89498,                0.76136,                0.80221,                0.79329,                0.49247,                0.99558,                0.62995,                0.88622,             0.00094192,             0.00094192,             0.00094192
                      2,                0.96143,                0.55873,                0.88453,                0.81879,                0.85784,                0.87601,                 0.5592,                0.94746,                0.53916,                0.87621,              0.0013994,              0.0013994,              0.0013994
                      3,                0.89403,                0.50703,                0.87155,                 0.8705,                 0.8846,                0.91027,                0.59474,                0.92058,                0.53267,                0.86268,              0.0013866,              0.0013866,              0.0013866
                      4,                0.83899,                0.47589,                 0.8629,                0.88558,                0.88612,                0.92417,                0.64249,                0.80941,                0.47413,                0.84872,              0.0013866,              0.0013866,              0.0013866
                      5,                0.79881,                0.45145,                0.85891,                0.89627,                0.91379,                0.92467,                0.62624,                0.82685,                0.45276,                0.85339,              0.0013724,              0.0013724,              0.0013724
                      6,                0.75911,                0.42913,                0.85131,                0.92197,                0.87854,                0.93391,                0.65493,                0.76984,                0.43766,                0.84309,              0.0013583,              0.0013583,              0.0013583
                      7,                0.74336,                0.41544,                0.84961,                0.89368,                0.88978,                0.90165,                0.64089,                0.73198,                0.41662,                0.84039,              0.0013441,              0.0013441,              0.0013441
                      8,                0.72327,                0.40842,                0.84566,                0.89679,                0.90993,                0.93927,                0.69074,                0.69386,                0.40047,                0.82875,                0.00133,                0.00133,                0.00133
                      9,                0.69006,                0.39049,                0.84011,                0.89276,                0.91371,                0.92728,                0.66547,                0.67537,                0.39033,                0.82653,              0.0013158,              0.0013158,              0.0013158
                     10,                0.66906,                0.38282,                0.83736,                 0.9171,                0.89637,                0.93957,                0.69892,                0.66691,                0.37644,                0.83195,              0.0013017,              0.0013017,              0.0013017
                     11,                 0.6586,                0.37347,                0.83443,                0.92234,                0.88264,                0.93812,                0.67208,                0.67914,                0.38433,                0.82568,              0.0012875,              0.0012875,              0.0012875
