                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.3602,                 1.0393,                0.95435,                0.76759,                0.76397,                0.82273,                0.47283,                 1.1676,                 0.6622,                0.90002,             0.00047549,             0.00047549,             0.00047549
                      1,                 1.1656,                0.64622,                0.90918,                0.88005,                0.79979,                0.85362,                0.52413,                 1.1192,                0.59969,                 0.8938,             0.00090471,             0.00090471,             0.00090471
                      2,                 1.0903,                0.60215,                 0.8925,                0.88226,                0.82342,                0.87616,                0.55063,                 1.0306,                 0.5503,                0.88042,              0.0012868,              0.0012868,              0.0012868
                      3,                  1.017,                 0.5529,                0.87824,                0.87825,                0.81524,                 0.8853,                0.55353,                 1.0054,                0.52319,                0.86414,              0.0012168,              0.0012168,              0.0012168
                      4,                0.96267,                0.51717,                0.87167,                0.90254,                0.85737,                0.90706,                0.59911,                0.90546,                0.48535,                0.85338,              0.0012168,              0.0012168,              0.0012168
                      5,                0.90612,                0.48305,                0.86162,                 0.9142,                0.86836,                0.90852,                0.61473,                0.88059,                0.45827,                0.84985,              0.0011461,              0.0011461,              0.0011461
                      6,                0.86789,                0.46062,                0.85607,                0.92617,                0.84775,                0.90883,                0.61321,                0.85485,                0.44666,                0.84429,              0.0010753,              0.0010753,              0.0010753
                      7,                0.83324,                0.44195,                  0.852,                0.91201,                0.88882,                0.92344,                0.64508,                0.79348,                0.42971,                0.83972,              0.0010046,              0.0010046,              0.0010046
                      8,                0.78547,                0.41491,                0.84224,                0.92005,                 0.8863,                0.92474,                0.65308,                0.75989,                 0.4029,                0.83157,             0.00093385,             0.00093385,             0.00093385
                      9,                0.75674,                0.40144,                0.83828,                0.90912,                0.89236,                0.92194,                0.66726,                 0.7306,                0.39461,                0.82909,             0.00086312,             0.00086312,             0.00086312
                     10,                0.73269,                0.38749,                0.83624,                0.90329,                0.88887,                0.92241,                 0.6746,                0.70958,                0.38622,                0.82372,             0.00079238,             0.00079238,             0.00079238
                     11,                0.70542,                0.37336,                0.83176,                0.92454,                0.87951,                0.92317,                0.66695,                0.72413,                0.38095,                0.82611,             0.00072164,             0.00072164,             0.00072164
                     12,                0.69347,                0.36547,                0.83043,                0.94503,                0.89083,                0.93834,                0.68015,                0.69844,                0.36499,                0.82115,             0.00065091,             0.00065091,             0.00065091
                     13,                0.66826,                0.35295,                0.82808,                0.93288,                0.89112,                0.93607,                0.69432,                0.66093,                0.35377,                0.81938,             0.00058017,             0.00058017,             0.00058017
                     14,                0.65377,                0.34388,                0.82519,                0.94412,                0.88228,                0.93373,                0.69378,                0.64736,                0.34263,                0.81615,             0.00050944,             0.00050944,             0.00050944
                     15,                0.63149,                0.32933,                0.82243,                0.94307,                0.89957,                0.94311,                0.70679,                0.65987,                0.33918,                0.81654,              0.0004387,              0.0004387,              0.0004387
                     16,                0.60885,                  0.317,                0.82072,                  0.939,                0.89386,                0.93379,                0.70709,                0.62623,                0.32701,                0.81405,             0.00036797,             0.00036797,             0.00036797
                     17,                0.58058,                0.30147,                0.81333,                0.94134,                0.89663,                0.93756,                0.71373,                0.60042,                0.31853,                0.80871,             0.00029723,             0.00029723,             0.00029723
                     18,                0.57766,                0.30163,                 0.8136,                 0.9462,                0.89915,                0.94011,                  0.725,                0.57108,                0.30309,                0.80533,              0.0002265,              0.0002265,              0.0002265
                     19,                0.55556,                0.28702,                0.81364,                0.94693,                0.89799,                0.94282,                0.72888,                0.55382,                0.29465,                0.80375,             0.00015576,             0.00015576,             0.00015576
